iter	Passed	Remaining
400	18807	98445
401	18854	98402
402	18901	98352
403	18942	98275
404	18991	98238
405	19035	98175
406	19085	98148
407	19130	98090
408	19173	98025
409	19218	97968
410	19262	97907
411	19305	97841
412	19345	97759
413	19390	97699
414	19434	97642
415	19486	97618
416	19534	97579
417	19581	97532
418	19625	97471
419	19683	97478
420	19732	97442
421	19785	97426
422	19841	97426
423	19888	97380
424	19941	97360
425	19994	97345
426	20041	97298
427	20084	97230
428	20131	97184
429	20176	97127
430	20222	97076
431	20265	97012
432	20307	96942
433	20353	96889
434	20396	96822
435	20437	96750
436	20482	96693
437	20525	96627
438	20565	96548
439	20610	96492
440	20652	96424
441	20698	96373
442	20739	96298
443	20782	96238
444	20826	96174
445	20871	96122
446	20916	96066
447	20956	95989
448	20994	95902
449	21039	95845
450	21082	95784
451	21124	95715
452	21167	95651
453	21212	95594
454	21254	95530
455	21297	95464
456	21340	95402
457	21381	95329
458	21424	95266
459	21469	95211
460	21519	95180
461	21561	95112
462	21605	95054
463	21642	94967
464	21694	94944
465	21739	94888
466	21783	94831
467	21824	94761
468	21865	94687
469	21906	94618
470	21947	94548
471	21991	94489
472	22033	94423
473	22073	94346
474	22120	94301
475	22165	94248
476	22210	94195
477	22252	94130
478	22289	94043
479	22336	93998
480	22373	93911
481	22414	93842
482	22453	93766
483	22493	93691
484	22540	93646
485	22586	93599
486	22631	93545
487	22680	93510
488	22719	93435
489	22759	93358
490	22804	93308
491	22845	93237
492	22885	93166
493	22929	93110
494	22972	93051
495	23012	92979
496	23053	92909
497	23091	92831
498	23134	92771
499	23180	92721
500	23226	92673
501	23268	92609
502	23314	92561
503	23360	92514
504	23399	92440
505	23448	92404
506	23494	92357
507	23535	92286
508	23581	92242
509	23625	92186
510	23669	92129
511	23713	92074
512	23756	92014
513	23803	91970
514	23849	91925
515	23887	91845
516	23930	91785
517	23968	91709
518	24007	91635
519	24055	91597
520	24097	91535
521	24141	91477
522	24189	91438
523	24226	91359
524	24268	91296
525	24315	91251
526	24355	91182
527	24394	91110
528	24433	91035
529	24477	90983
530	24514	90903
531	24552	90825
532	24595	90769
533	24634	90697
534	24675	90629
535	24717	90568
536	24760	90512
537	24804	90458
538	24848	90404
539	24886	90330
540	24927	90265
541	24971	90209
542	25014	90154
543	25058	90100
544	25099	90035
545	25140	89972
546	25184	89919
547	25227	89861
548	25272	89812
549	25315	89754
550	25356	89690
551	25397	89627
552	25437	89559
553	25475	89486
554	25519	89434
555	25567	89395
556	25611	89342
557	25654	89283
558	25691	89206
559	25730	89137
560	25772	89078
561	25817	89029
562	25861	88976
563	25901	88911
564	25939	88836
565	25978	88765
566	26018	88701
567	26063	88653
568	26105	88592
569	26146	88530
570	26192	88486
571	26234	88427
572	26278	88373
573	26318	88308
574	26361	88253
575	26402	88190
576	26442	88127
577	26490	88086
578	26534	88036
579	26579	87987
580	26622	87933
581	26667	87883
582	26710	87829
583	26747	87755
584	26790	87700
585	26829	87631
586	26871	87572
587	26912	87511
588	26951	87445
589	26992	87382
590	27031	87315
591	27081	87281
592	27124	87227
593	27164	87164
594	27204	87100
595	27248	87047
596	27293	87001
597	27345	86975
598	27391	86929
599	27435	86880
600	27477	86820
601	27520	86766
602	27558	86697
603	27599	86636
604	27645	86591
605	27688	86539
606	27737	86501
607	27782	86453
608	27823	86394
609	27862	86326
610	27904	86271
611	27944	86206
612	27987	86154
613	28028	86094
614	28070	86038
615	28110	85975
616	28149	85908
617	28193	85856
618	28231	85790
619	28273	85731
620	28317	85681
621	28360	85627
622	28398	85559
623	28436	85491
624	28480	85442
625	28521	85383
626	28566	85336
627	28609	85283
628	28651	85227
629	28692	85165
630	28735	85114
631	28779	85062
632	28832	85038
633	28873	84980
634	28914	84920
635	28956	84866
636	28996	84805
637	29038	84750
638	29079	84690
639	29121	84635
640	29168	84594
641	29209	84534
642	29258	84498
643	29299	84440
644	29342	84389
645	29385	84334
646	29424	84271
647	29462	84203
648	29509	84163
649	29553	84113
650	29594	84054
651	29640	84011
652	29681	83952
653	29725	83904
654	29766	83846
655	29821	83827
656	29868	83785
657	29908	83725
658	29953	83678
659	29994	83621
660	30040	83577
661	30087	83535
662	30124	83467
663	30165	83409
664	30204	83344
665	30245	83289
666	30287	83233
667	30333	83188
668	30374	83132
669	30416	83077
670	30459	83026
671	30507	82988
672	30547	82926
673	30589	82872
674	30628	82809
675	30667	82748
676	30705	82682
677	30740	82609
678	30779	82546
679	30821	82491
680	30865	82444
681	30908	82392
682	30948	82331
683	30991	82281
684	31031	82223
685	31071	82162
686	31109	82098
687	31152	82046
688	31198	82003
689	31241	81951
690	31285	81904
691	31322	81835
692	31361	81773
693	31407	81731
694	31453	81687
695	31495	81634
696	31536	81579
697	31580	81529
698	31622	81477
699	31665	81425
700	31707	81372
701	31748	81314
702	31793	81270
703	31835	81216
704	31877	81162
705	31919	81109
706	31962	81059
707	32002	80999
708	32044	80946
709	32086	80893
710	32127	80839
711	32171	80790
712	32213	80738
713	32256	80685
714	32298	80634
715	32340	80581
716	32381	80524
717	32423	80472
718	32462	80411
719	32501	80351
720	32543	80297
721	32585	80245
722	32624	80185
723	32668	80136
724	32708	80080
725	32757	80043
726	32802	79997
727	32842	79941
728	32891	79905
729	32933	79851
730	32974	79798
731	33046	79817
732	33113	79823
733	33157	79777
734	33201	79729
735	33242	79672
736	33290	79635
737	33333	79584
738	33382	79549
739	33430	79509
740	33475	79465
741	33518	79415
742	33555	79350
743	33594	79289
744	33636	79236
745	33677	79183
746	33720	79132
747	33760	79074
748	33798	79013
749	33839	78959
750	33884	78912
751	33925	78859
752	33969	78810
753	34010	78757
754	34060	78722
755	34113	78696
756	34170	78677
757	34211	78624
758	34255	78575
759	34294	78516
760	34335	78461
761	34376	78407
762	34413	78343
763	34455	78290
764	34495	78234
765	34534	78176
766	34579	78130
767	34623	78082
768	34664	78029
769	34706	77977
770	34748	77924
771	34791	77874
772	34838	77834
773	34880	77782
774	34922	77731
775	34966	77683
776	35005	77625
777	35048	77576
778	35094	77531
779	35138	77484
780	35179	77430
781	35220	77376
782	35261	77322
783	35305	77276
784	35348	77226
785	35388	77170
786	35432	77122
787	35471	77063
788	35507	76999
789	35549	76949
790	35588	76890
791	35630	76840
792	35672	76787
793	35713	76733
794	35750	76672
795	35794	76624
796	35836	76573
797	35874	76514
798	35913	76456
799	35950	76394
800	35990	76338
801	36032	76287
802	36076	76241
803	36116	76186
804	36165	76150
805	36206	76097
806	36248	76045
807	36290	75994
808	36329	75937
809	36372	75888
810	36413	75835
811	36456	75785
812	36499	75736
813	36538	75680
814	36580	75630
815	36625	75585
816	36676	75553
817	36714	75493
818	36752	75433
819	36789	75373
820	36831	75323
821	36873	75272
822	36913	75217
823	36953	75162
824	36991	75104
825	37035	75057
826	37075	75002
827	37112	74941
828	37161	74905
829	37202	74852
830	37247	74808
831	37288	74756
832	37335	74715
833	37372	74655
834	37413	74602
835	37451	74545
836	37493	74494
837	37534	74441
838	37574	74388
839	37618	74342
840	37657	74284
841	37697	74230
842	37739	74179
843	37778	74125
844	37828	74089
845	37868	74035
846	37913	73991
847	37952	73935
848	37991	73880
849	38037	73837
850	38083	73795
851	38129	73752
852	38171	73702
853	38214	73654
854	38259	73609
855	38305	73567
856	38345	73514
857	38388	73466
858	38434	73423
859	38480	73382
860	38527	73340
861	38576	73303
862	38628	73273
863	38675	73233
864	38724	73196
865	38773	73158
866	38831	73138
867	38876	73095
868	38924	73056
869	38968	73009
870	39010	72959
871	39052	72910
872	39096	72863
873	39142	72820
874	39184	72770
875	39224	72718
876	39264	72663
877	39311	72624
878	39358	72581
879	39402	72536
880	39446	72489
881	39487	72439
882	39530	72390
883	39571	72339
884	39614	72290
885	39658	72244
886	39698	72191
887	39745	72150
888	39789	72105
889	39831	72054
890	39870	71999
891	39912	71949
892	39957	71905
893	39998	71854
894	40043	71809
895	40088	71766
896	40131	71718
897	40191	71700
898	40234	71652
899	40279	71607
900	40315	71548
901	40353	71490
902	40395	71442
903	40433	71385
904	40477	71338
905	40518	71288
906	40561	71240
907	40608	71198
908	40656	71159
909	40698	71111
910	40746	71071
911	40795	71034
912	40842	70993
913	40882	70940
914	40926	70894
915	40967	70843
916	41011	70797
917	41059	70757
918	41105	70715
919	41153	70676
920	41197	70630
921	41239	70581
922	41284	70536
923	41329	70492
924	41374	70448
925	41426	70415
926	41474	70377
927	41517	70328
928	41563	70287
929	41618	70258
930	41670	70226
931	41717	70186
932	41764	70145
933	41811	70103
934	41858	70061
935	41906	70022
936	41949	69974
937	41992	69928
938	42035	69880
939	42087	69847
940	42138	69812
941	42188	69776
942	42232	69729
943	42282	69694
944	42329	69652
945	42372	69605
946	42418	69562
947	42468	69525
948	42510	69477
949	42557	69436
950	42603	69393
951	42645	69343
952	42690	69300
953	42731	69248
954	42771	69195
955	42812	69144
956	42856	69098
957	42901	69054
958	42951	69018
959	42993	68968
960	43034	68917
961	43077	68869
962	43119	68820
963	43159	68768
964	43197	68712
965	43243	68669
966	43291	68630
967	43329	68574
968	43367	68519
969	43409	68470
970	43448	68417
971	43488	68364
972	43527	68310
973	43573	68268
974	43616	68220
975	43658	68171
976	43699	68121
977	43747	68081
978	43785	68026
979	43828	67978
980	43874	67935
981	43913	67882
982	43952	67829
983	43995	67781
984	44040	67737
985	44080	67684
986	44128	67645
987	44174	67602
988	44217	67555
989	44262	67511
990	44304	67462
991	44342	67408
992	44383	67357
993	44423	67305
994	44469	67262
995	44511	67214
996	44550	67161
997	44591	67110
998	44637	67067
999	44678	67017
1000	44716	66963
1001	44754	66908
1002	44797	66860
1003	44836	66808
1004	44877	66757
1005	44921	66712
1006	44966	66667
1007	45004	66613
1008	45048	66567
1009	45100	66533
1010	45144	66488
1011	45186	66439
1012	45225	66387
1013	45264	66333
1014	45309	66289
1015	45354	66246
1016	45395	66196
1017	45435	66144
1018	45476	66095
1019	45519	66047
1020	45560	65998
1021	45597	65942
1022	45637	65890
1023	45680	65844
1024	45723	65797
1025	45765	65748
1026	45805	65698
1027	45848	65650
1028	45889	65600
1029	45931	65552
1030	45969	65498
1031	46008	65446
1032	46049	65396
1033	46096	65355
1034	46136	65303
1035	46174	65250
1036	46212	65197
1037	46249	65141
1038	46289	65090
1039	46330	65040
1040	46375	64996
1041	46422	64956
1042	46467	64911
1043	46509	64864
1044	46549	64813
1045	46597	64773
1046	46639	64725
1047	46676	64669
1048	46712	64613
1049	46757	64569
1050	46802	64526
1051	46849	64484
1052	46899	64447
1053	46958	64422
1054	47013	64392
1055	47065	64358
1056	47113	64318
1057	47162	64280
1058	47224	64259
1059	47287	64240
1060	47332	64195
1061	47371	64143
1062	47412	64093
1063	47453	64044
1064	47496	63998
1065	47542	63954
1066	47587	63911
1067	47630	63864
1068	47678	63823
1069	47724	63780
1070	47768	63736
1071	47815	63694
1072	47859	63648
1073	47907	63608
1074	47961	63576
1075	48013	63541
1076	48059	63499
1077	48112	63465
1078	48162	63427
1079	48211	63388
1080	48262	63353
1081	48309	63311
1082	48355	63268
1083	48400	63224
1084	48450	63185
1085	48493	63140
1086	48537	63094
1087	48584	63052
1088	48627	63005
1089	48672	62961
1090	48713	62912
1091	48758	62867
1092	48804	62824
1093	48852	62784
1094	48895	62738
1095	48941	62695
1096	48982	62646
1097	49024	62598
1098	49067	62551
1099	49119	62516
1100	49160	62466
1101	49203	62419
1102	49245	62371
1103	49288	62324
1104	49329	62276
1105	49371	62228
1106	49413	62179
1107	49456	62133
1108	49498	62085
1109	49542	62039
1110	49595	62005
1111	49646	61969
1112	49686	61918
1113	49726	61868
1114	49766	61818
1115	49808	61770
1116	49860	61734
1117	49904	61688
1118	49951	61646
1119	49998	61605
1120	50048	61567
1121	50096	61526
1122	50155	61499
1123	50209	61465
1124	50261	61430
1125	50310	61391
1126	50392	61392
1127	50508	61434
1128	50576	61417
1129	50651	61409
1130	50712	61384
1131	50764	61347
1132	50816	61311
1133	50870	61278
1134	50925	61245
1135	50973	61203
1136	51017	61158
1137	51061	61112
1138	51115	61078
1139	51167	61041
1140	51215	61000
1141	51258	60954
1142	51302	60908
1143	51353	60870
1144	51408	60836
1145	51457	60796
1146	51499	60749
1147	51541	60700
1148	51590	60660
1149	51642	60624
1150	51686	60578
1151	51729	60531
1152	51778	60490
