iter	MAE
0	14.50004546
1	14.44349211
2	14.38248869
3	14.32872561
4	14.28215291
5	14.23880055
6	14.19170531
7	14.14660722
8	14.1102399
9	14.07593209
10	14.04334753
11	14.00987108
12	13.9793049
13	13.95468963
14	13.92764404
15	13.90342008
16	13.87897385
17	13.85548552
18	13.83452798
19	13.81283516
20	13.7966865
21	13.77741902
22	13.75768423
23	13.74242729
24	13.7263338
25	13.71442697
26	13.6978846
27	13.68338143
28	13.67005055
29	13.65494107
30	13.64400152
31	13.63210229
32	13.62309925
33	13.61024648
34	13.59974846
35	13.58996334
36	13.5808507
37	13.57399566
38	13.56576811
39	13.5568354
40	13.54883294
41	13.53969524
42	13.53181794
43	13.5256143
44	13.51869425
45	13.51193312
46	13.50652731
47	13.49982661
48	13.49199551
49	13.48599758
50	13.47845921
51	13.47160993
52	13.46662054
53	13.46164688
54	13.45527719
55	13.45104967
56	13.44570494
57	13.43994959
58	13.43536868
59	13.42867161
60	13.42400853
61	13.41901108
62	13.41384634
63	13.40987776
64	13.40612204
65	13.40148938
66	13.39600209
67	13.39151633
68	13.38875755
69	13.38362767
70	13.38043189
71	13.37727298
72	13.37417842
73	13.37002183
74	13.36556564
75	13.36131354
76	13.35755179
77	13.35422098
78	13.35018649
79	13.34670054
80	13.34120623
81	13.33824526
82	13.33603412
83	13.33313776
84	13.33052793
85	13.32648256
86	13.32410062
87	13.32168077
88	13.3185111
89	13.31603591
90	13.31324548
91	13.31096557
92	13.30858694
93	13.30486445
94	13.30241654
95	13.29790174
96	13.29503282
97	13.29261177
98	13.29093809
99	13.28815951
100	13.28642797
101	13.28429709
102	13.28176589
103	13.28022768
104	13.27779376
105	13.27528797
106	13.27281817
107	13.27035231
108	13.26732126
109	13.2648423
110	13.2626829
111	13.25884417
112	13.25680927
113	13.25543067
114	13.25393656
115	13.25208568
116	13.25064832
117	13.24898526
118	13.24588939
119	13.24357226
120	13.24127998
121	13.23851316
122	13.23471081
123	13.23236007
124	13.23056308
125	13.22862749
126	13.22541801
127	13.22375918
128	13.22230075
129	13.21974296
130	13.21645557
131	13.21512859
132	13.21326069
133	13.21123195
134	13.21034372
135	13.20797628
136	13.20603913
137	13.20437382
138	13.20313254
139	13.20218679
140	13.19949215
141	13.19823012
142	13.19668721
143	13.1950729
144	13.19302865
145	13.19047901
146	13.18823403
147	13.18549901
148	13.1834893
149	13.1816418
150	13.17937098
151	13.17784271
152	13.17566041
153	13.17387473
154	13.17307217
155	13.17018587
156	13.16874495
157	13.16703107
158	13.16495336
159	13.16297851
160	13.16128482
161	13.15906219
162	13.15692482
163	13.15591005
164	13.15451051
165	13.15245637
166	13.15050803
167	13.14815002
168	13.14737848
169	13.14478998
170	13.14238528
171	13.13973843
172	13.13856262
173	13.13634878
174	13.13435081
175	13.13321705
176	13.13030597
177	13.1290119
178	13.126619
179	13.12541758
180	13.12347795
181	13.12191015
182	13.12026608
183	13.11856157
184	13.11786771
185	13.11577728
186	13.11459338
187	13.11295373
188	13.11031152
189	13.1090847
190	13.10766945
191	13.10575929
192	13.10421744
193	13.10247691
194	13.10146263
195	13.10021363
196	13.09821957
197	13.09702389
198	13.094297
199	13.09139051
200	13.08992894
201	13.08891437
202	13.08685568
203	13.08611045
204	13.08443321
205	13.08330473
206	13.08180455
207	13.08045517
208	13.07956377
209	13.07820814
210	13.07665922
211	13.075951
212	13.07403095
213	13.07298703
214	13.07165143
215	13.07003638
216	13.06732471
217	13.06623289
218	13.06453493
219	13.06302043
220	13.0619922
221	13.06099509
222	13.05869685
223	13.05647265
224	13.0550872
225	13.05343556
226	13.05155313
227	13.04981734
228	13.04756057
229	13.04617215
230	13.04478471
231	13.04387418
232	13.04173921
233	13.03984902
234	13.03844512
235	13.03734277
236	13.03611734
237	13.03479913
238	13.03266101
239	13.03054467
240	13.02909441
241	13.02744944
242	13.02522707
243	13.02427167
244	13.02295153
245	13.02091457
246	13.01986921
247	13.01822678
248	13.01761632
249	13.01591919
250	13.01495188
251	13.01392038
252	13.01232165
253	13.01001503
254	13.00786058
255	13.0057376
256	13.00474296
257	13.00322296
258	13.00169977
259	13.00014064
260	12.99900188
261	12.99822739
262	12.99684643
263	12.99523774
264	12.99396512
265	12.9918569
266	12.99028259
267	12.98836588
268	12.98697716
269	12.98484907
270	12.98371403
271	12.9819673
272	12.98090061
273	12.97924291
274	12.97749696
275	12.97620781
276	12.97482916
277	12.97288233
278	12.97036393
279	12.96851008
280	12.96695056
281	12.96532972
282	12.96325982
283	12.96182775
284	12.96060875
285	12.9588416
286	12.95716874
287	12.95595212
288	12.9542511
289	12.95188808
290	12.94998216
291	12.94790926
292	12.94697294
293	12.94500512
294	12.94403415
295	12.94215771
296	12.94068599
297	12.93854863
298	12.93639488
299	12.93402697
300	12.93261513
301	12.93176107
302	12.93006144
303	12.92798724
304	12.92730053
305	12.92621178
306	12.92515295
307	12.92399858
308	12.92227189
309	12.92071955
310	12.91943099
311	12.91726229
312	12.91593066
313	12.91494443
314	12.91377797
315	12.91257795
316	12.91039675
317	12.90898669
318	12.90803411
319	12.90652759
320	12.90547761
321	12.90412366
322	12.90268476
323	12.90005759
324	12.89877867
325	12.8978214
326	12.89595894
327	12.89462942
328	12.89320138
329	12.89206768
330	12.89014216
331	12.88916981
332	12.88881549
333	12.88713214
334	12.88552993
335	12.88382214
336	12.88241159
337	12.88192167
338	12.88021928
339	12.87798393
340	12.87667263
341	12.87459762
342	12.87309514
343	12.87213061
344	12.87136948
345	12.87035738
346	12.86888785
347	12.86720705
348	12.86626883
349	12.86515478
350	12.86417947
351	12.86335792
352	12.86200679
353	12.86066045
354	12.85883917
355	12.85752981
356	12.85510479
357	12.85372737
358	12.85246532
359	12.85102428
360	12.85022299
361	12.84908601
362	12.84793897
363	12.846336
364	12.84553895
365	12.84434099
366	12.84281414
367	12.84154691
368	12.84041749
369	12.83957579
370	12.83889251
371	12.83748088
372	12.83596735
373	12.83429719
374	12.83318826
375	12.83250509
376	12.83176175
377	12.82981601
378	12.82812562
379	12.82738662
380	12.82632038
381	12.82544743
382	12.82439343
383	12.82389716
384	12.82243842
385	12.82117044
386	12.82050989
387	12.81917375
388	12.81815892
389	12.81730123
390	12.81621747
391	12.81548982
392	12.81390876
393	12.81309009
394	12.81227476
395	12.81138233
396	12.81062144
397	12.80943828
398	12.80849047
399	12.80756087
400	12.80658803
401	12.80536675
402	12.80441106
403	12.80307809
404	12.80140707
405	12.80002494
406	12.7983118
407	12.79727749
408	12.79600414
409	12.79477703
410	12.79406454
411	12.79326826
412	12.79262461
413	12.79128185
414	12.79010865
415	12.78842935
416	12.7870352
417	12.78628368
418	12.78516947
419	12.7835661
420	12.78221474
421	12.78055704
422	12.77927726
423	12.7785743
424	12.77731077
425	12.77601691
426	12.7747238
427	12.77388772
428	12.77247524
429	12.77147002
430	12.76956055
431	12.76870085
432	12.76789964
433	12.76675177
434	12.76485364
435	12.76405562
436	12.76275211
437	12.76194016
438	12.76107688
439	12.75994351
440	12.75905065
441	12.75760814
442	12.75616283
443	12.75484615
444	12.75399485
445	12.75341601
446	12.75157707
447	12.75098357
448	12.75055155
449	12.7497772
450	12.74875685
451	12.74764173
452	12.74649963
453	12.74576808
454	12.74443207
455	12.74380366
456	12.74305058
457	12.74205302
458	12.74101366
459	12.73981372
460	12.73900651
461	12.73827836
462	12.73709496
463	12.73665248
464	12.73563772
465	12.734638
466	12.73319546
467	12.73224359
468	12.73175714
469	12.73096668
470	12.73005573
471	12.72942964
472	12.72792218
473	12.72752984
474	12.72574354
475	12.72429534
476	12.72270304
477	12.72119753
478	12.72064873
479	12.71989074
480	12.71925856
481	12.7185269
482	12.7178316
483	12.71692192
484	12.71628832
485	12.71514408
486	12.71419988
487	12.71333063
488	12.7119032
489	12.71141297
490	12.71056268
491	12.70968483
492	12.70826793
493	12.70717084
494	12.70566149
495	12.70460399
496	12.70344102
497	12.7025388
498	12.70182379
499	12.70102729
500	12.69893699
501	12.69780957
502	12.69709751
503	12.69577126
504	12.69507739
505	12.69424557
506	12.69311877
507	12.69269589
508	12.69158755
509	12.69095345
510	12.69048869
511	12.6898075
512	12.68891807
513	12.68780741
514	12.68694338
515	12.68673898
516	12.68570086
517	12.68447048
518	12.68366342
519	12.68189195
520	12.68112256
521	12.68045692
522	12.67907634
523	12.67860764
524	12.67740317
525	12.67627181
526	12.6754729
527	12.67425029
528	12.67378083
529	12.67264401
530	12.67234038
531	12.67206568
532	12.67092992
533	12.67040118
534	12.6698709
535	12.66859345
536	12.66772302
537	12.66641129
538	12.66471394
539	12.66415247
540	12.66293184
541	12.66174378
542	12.6598954
543	12.65881668
544	12.65803231
545	12.65671586
546	12.6556676
547	12.65442313
548	12.65326225
549	12.65252481
550	12.65160057
551	12.65000798
552	12.64932468
553	12.64869557
554	12.64765339
555	12.64650964
556	12.64540435
557	12.64500604
558	12.6446621
559	12.64423122
560	12.64338549
561	12.64211708
562	12.6413832
563	12.64047861
564	12.63993276
565	12.63905931
566	12.6383812
567	12.6372698
568	12.63642255
569	12.63538484
570	12.63451878
571	12.63335031
572	12.63227523
573	12.63156662
574	12.63102584
575	12.63035976
576	12.62983158
577	12.62909689
578	12.62805507
579	12.626951
580	12.62539437
581	12.62426694
582	12.62326965
583	12.62285586
584	12.62158344
585	12.62096902
586	12.6205855
587	12.62007678
588	12.61937699
589	12.61831009
590	12.61718902
591	12.616316
592	12.61554541
593	12.61496631
594	12.6142923
595	12.61347681
596	12.61235099
597	12.61143805
598	12.61014659
599	12.60900861
600	12.60833075
601	12.60710331
602	12.60656338
603	12.60585881
604	12.60496394
605	12.60450557
606	12.60349108
607	12.60315242
608	12.60247669
609	12.6014398
610	12.60036218
611	12.59987023
612	12.5984262
613	12.59762533
614	12.59715073
615	12.59566354
616	12.59465631
617	12.59381568
618	12.59340137
619	12.59275178
620	12.59188476
621	12.59134772
622	12.5907433
623	12.59010217
624	12.58968676
625	12.58891912
626	12.58716725
627	12.58626583
628	12.58564714
629	12.58528491
630	12.58485282
631	12.58324887
632	12.58183305
633	12.58138008
634	12.58049832
635	12.57959964
636	12.57867623
637	12.5773381
638	12.57683865
639	12.5758312
640	12.5749484
641	12.5743194
642	12.57214977
643	12.57127744
644	12.57047202
645	12.56973976
646	12.5690625
647	12.56866459
648	12.56740865
649	12.56668195
650	12.56621155
651	12.56541061
652	12.56457223
653	12.56337719
654	12.56245224
655	12.56142875
656	12.56037671
657	12.55982243
658	12.55838526
659	12.55669681
660	12.55525104
661	12.5543391
662	12.55356215
663	12.5528204
664	12.5523636
665	12.55020011
666	12.54909062
667	12.54809139
668	12.54722302
669	12.54635084
670	12.54584174
671	12.54505287
672	12.54455889
673	12.54357907
674	12.54293978
675	12.54250244
676	12.54162591
677	12.5413055
678	12.54042783
679	12.53984625
680	12.53854792
681	12.5374707
682	12.53679672
683	12.53576781
684	12.5347389
685	12.53405165
686	12.53360658
687	12.53309461
688	12.53232021
689	12.53170277
690	12.53069499
691	12.53044457
692	12.52993568
693	12.52899551
694	12.52868529
695	12.52790433
696	12.52704588
697	12.52667216
698	12.52602976
699	12.52544504
700	12.52456596
701	12.52373701
702	12.52252132
703	12.52194696
704	12.52094859
705	12.51998473
706	12.51880276
707	12.5184972
708	12.51795964
709	12.51742818
710	12.51690546
711	12.51643254
712	12.51553247
713	12.51447864
714	12.51384711
715	12.51315563
716	12.51238944
717	12.51153166
718	12.51111947
719	12.51030387
720	12.50968663
721	12.50868189
722	12.50786847
723	12.5066184
724	12.50618328
725	12.50550853
726	12.5052235
727	12.50486931
728	12.50405235
729	12.50320304
730	12.50214955
731	12.5016421
732	12.50044566
733	12.49984081
734	12.49924345
735	12.49846852
736	12.49782847
737	12.49731102
738	12.49592266
739	12.49506321
740	12.49343439
741	12.49281056
742	12.49246352
743	12.49202738
744	12.49166239
745	12.49116784
746	12.490075
747	12.48978757
748	12.48924768
749	12.48831555
750	12.48774769
751	12.48701334
752	12.48605553
753	12.48487724
754	12.48381671
755	12.48286436
756	12.48176062
757	12.48145767
758	12.48089221
759	12.48067998
760	12.4799904
761	12.47915523
762	12.47872722
763	12.47772896
764	12.47734329
765	12.47699448
766	12.47629298
767	12.47562889
768	12.4751782
769	12.474556
770	12.47361272
771	12.47299367
772	12.47244464
773	12.4719182
774	12.47091511
775	12.47027979
776	12.46989387
777	12.46904947
778	12.46785826
779	12.46639789
780	12.46542528
781	12.46498538
782	12.46418633
783	12.46344633
784	12.46299028
785	12.46206781
786	12.46109746
787	12.46049264
788	12.46020836
789	12.45868744
790	12.45837538
791	12.45785545
792	12.45708534
793	12.45660806
794	12.4562538
795	12.455437
796	12.45456842
797	12.45423477
798	12.45383533
799	12.45338893
800	12.45270103
801	12.45213068
802	12.45093916
803	12.45011342
804	12.44903218
805	12.44835419
806	12.44769984
807	12.44674234
808	12.4464948
809	12.44574399
810	12.44511085
811	12.44463121
812	12.44364871
813	12.44329158
814	12.44246525
815	12.4412967
816	12.44039648
817	12.44008627
818	12.43966718
819	12.43884956
820	12.43824574
821	12.43778473
822	12.4373875
823	12.43630497
824	12.4360069
825	12.43468535
826	12.43421542
827	12.4340603
828	12.43364611
829	12.43270051
830	12.43219877
831	12.4316596
832	12.43086531
833	12.43058628
834	12.42956071
835	12.42917898
836	12.4285571
837	12.42756465
838	12.42722125
839	12.42649536
840	12.42603722
841	12.42556408
842	12.42489972
843	12.42403588
844	12.42335347
845	12.42284745
846	12.42234415
847	12.42201676
848	12.42131696
849	12.42083156
850	12.42015212
851	12.41940991
852	12.41902648
853	12.41811986
854	12.4172796
855	12.41684312
856	12.41607441
857	12.41495316
858	12.41369844
859	12.4131538
860	12.41292219
861	12.41183128
862	12.41166702
863	12.41106874
864	12.4107515
865	12.41012892
866	12.40924203
867	12.40859497
868	12.4072036
869	12.40646429
870	12.40583311
871	12.40521374
872	12.40482539
873	12.40405613
874	12.40374043
875	12.40303437
876	12.40223234
877	12.40155612
878	12.40067328
879	12.39997085
880	12.39908591
881	12.39794801
882	12.39732203
883	12.3962967
884	12.39517508
885	12.39472446
886	12.39420246
887	12.39306161
888	12.39249785
